date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:29:47	48643/48643	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Sep%202018%2015:29:50%20GMT	https://gigm.com/gigm-mobile-app.aspx	C:/My%20Web%20Sites/travel/gigm.com/gigm-mobile-app.html	(from https://gigm.com/Default.aspx)
16:29:49	66560/66560	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Sep%202018%2015:29:51%20GMT	https://gigm.com/Faq.aspx	C:/My%20Web%20Sites/travel/gigm.com/Faq.html	(from https://gigm.com/Default.aspx)
16:29:51	43527/43527	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Sep%202018%2015:29:53%20GMT	https://gigm.com/Luggage-Allowance.aspx	C:/My%20Web%20Sites/travel/gigm.com/Luggage-Allowance.html	(from https://gigm.com/Default.aspx)
16:29:53	51466/51466	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Sep%202018%2015:29:55%20GMT	https://gigm.com/Terms-and-Conditions.aspx	C:/My%20Web%20Sites/travel/gigm.com/Terms-and-Conditions.html	(from https://gigm.com/Default.aspx)
16:29:55	44340/44340	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Sep%202018%2015:29:57%20GMT	https://gigm.com/Contact-Us.aspx	C:/My%20Web%20Sites/travel/gigm.com/Contact-Us.html	(from https://gigm.com/Default.aspx)
16:29:57	44930/44930	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Sep%202018%2015:29:59%20GMT	https://gigm.com/Customer-Care.aspx	C:/My%20Web%20Sites/travel/gigm.com/Customer-Care.html	(from https://gigm.com/Default.aspx)
16:29:59	68846/68846	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Sep%202018%2015:30:01%20GMT	https://gigm.com/Terminals.aspx	C:/My%20Web%20Sites/travel/gigm.com/Terminals.html	(from https://gigm.com/Default.aspx)
16:30:01	46499/46499	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Sep%202018%2015:30:03%20GMT	https://gigm.com/About-Us.aspx	C:/My%20Web%20Sites/travel/gigm.com/About-Us.html	(from https://gigm.com/Default.aspx)
16:30:03	47551/47551	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Sep%202018%2015:30:06%20GMT	https://gigm.com/Awards.aspx	C:/My%20Web%20Sites/travel/gigm.com/Awards.html	(from https://gigm.com/Default.aspx)
16:30:06	43108/43108	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Sep%202018%2015:30:08%20GMT	https://gigm.com/Careers.aspx	C:/My%20Web%20Sites/travel/gigm.com/Careers.html	(from https://gigm.com/Default.aspx)
16:30:07	51226/51226	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Sep%202018%2015:30:09%20GMT	https://gigm.com/enterprisepartners.aspx	C:/My%20Web%20Sites/travel/gigm.com/enterprisepartners.html	(from https://gigm.com/Default.aspx)
16:30:09	49304/49304	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Sep%202018%2015:30:12%20GMT	https://gigm.com/captain.aspx	C:/My%20Web%20Sites/travel/gigm.com/captain.html	(from https://gigm.com/Default.aspx)
16:30:12	48693/48693	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Sep%202018%2015:30:14%20GMT	https://gigm.com/pickupservice.aspx	C:/My%20Web%20Sites/travel/gigm.com/pickupservice.html	(from https://gigm.com/Default.aspx)
16:30:13	8760/8760	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Sep%202018%2015:30:16%20GMT	https://gigm.com/Register.aspx	C:/My%20Web%20Sites/travel/gigm.com/Register.html	(from https://gigm.com/Default.aspx)
16:30:16	13211/13211	---M--	200	added ('OK')	image/png	etag:%2222f91033746fd31:0%22	https://gigm.com/img/googleplay.png	C:/My%20Web%20Sites/travel/gigm.com/img/googleplay.png	(from https://gigm.com/Default.aspx)
16:30:18	2681/2681	---M--	200	added ('OK')	image/gif	etag:%22ee8b1833746fd31:0%22	https://gigm.com/img/iOS-app-store.gif	C:/My%20Web%20Sites/travel/gigm.com/img/iOS-app-store.gif	(from https://gigm.com/Default.aspx)
16:30:21	237458/237458	---M--	200	added ('OK')	image/jpeg	etag:%2262fae2a88134d41:0%22	https://gigm.com/webassets/img/banner.jpg	C:/My%20Web%20Sites/travel/gigm.com/webassets/img/banner.jpg	(from https://gigm.com/Default.aspx)
16:30:21	93981/93981	---M--	200	added ('OK')	image/png	etag:%22559b3e91ebed31:0%22	https://gigm.com/img/pickup-loader.png	C:/My%20Web%20Sites/travel/gigm.com/img/pickup-loader.png	(from https://gigm.com/Default.aspx)
16:30:22	4912/4912	---M--	200	added ('OK')	image/gif	etag:%227aad1c33746fd31:0%22	https://gigm.com/img/loadingBar.gif	C:/My%20Web%20Sites/travel/gigm.com/img/loadingBar.gif	(from https://gigm.com/Default.aspx)
16:30:25	3670/3670	---M--	200	added ('OK')	image/png	etag:%22abbea035746fd31:0%22	https://gigm.com/webassets/img/icons/customer-service.png	C:/My%20Web%20Sites/travel/gigm.com/webassets/img/icons/customer-service.png	(from https://gigm.com/Default.aspx)
16:30:26	2717/2717	---M--	200	added ('OK')	image/png	etag:%22e1bba235746fd31:0%22	https://gigm.com/webassets/img/icons/question.png	C:/My%20Web%20Sites/travel/gigm.com/webassets/img/icons/question.png	(from https://gigm.com/Default.aspx)
16:30:27	165805/165805	---M--	200	added ('OK')	image/jpeg	etag:%2230543aedbd31:0%22	https://m.gigm.com/img/Pickupwebstrip.jpg	C:/My%20Web%20Sites/travel/m.gigm.com/img/Pickupwebstrip.jpg	(from https://gigm.com/Default.aspx)
16:30:28	2631/2631	---M--	200	added ('OK')	image/png	etag:%229058a335746fd31:0%22	https://gigm.com/webassets/img/icons/terminals.png	C:/My%20Web%20Sites/travel/gigm.com/webassets/img/icons/terminals.png	(from https://gigm.com/Default.aspx)
16:30:30	1896/1896	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Sep%202018%2015:30:32%20GMT	https://gigm.com/Pickup.aspx	C:/My%20Web%20Sites/travel/gigm.com/Pickup.37.delayed	(from https://gigm.com/Default.aspx)
16:30:32	2098/2098	---M--	200	added ('OK')	image/png	etag:%228e6edd8d5a0d31:0%22	https://gigm.com/webassets/img/icons/pickup-point.png	C:/My%20Web%20Sites/travel/gigm.com/webassets/img/icons/pickup-point.png	(from https://gigm.com/Default.aspx)
16:30:34	46326/46326	---M--	200	added ('OK')	image/png	etag:%227ab28835746fd31:0%22	https://gigm.com/webassets/img/download-app-img.png	C:/My%20Web%20Sites/travel/gigm.com/webassets/img/download-app-img.png	(from https://gigm.com/Default.aspx)
16:30:36	46936/46936	---M--	200	added ('OK')	image/png	etag:%2221648835746fd31:0%22	https://gigm.com/webassets/img/childfare-img.png	C:/My%20Web%20Sites/travel/gigm.com/webassets/img/childfare-img.png	(from https://gigm.com/Default.aspx)
16:30:36	103/103	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Sep%202018%2015:30:39%20GMT	https://gigm.com/travels-tours.html	C:/My%20Web%20Sites/travel/gigm.com/travels-tours.3b.delayed	(from https://gigm.com/Default.aspx)
16:30:39	46997/46997	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Sep%202018%2015:30:41%20GMT	https://gigm.com/How-To-Book-A-Bus.aspx	C:/My%20Web%20Sites/travel/gigm.com/How-To-Book-A-Bus.html	(from https://gigm.com/Default.aspx)
16:30:40	44588/44588	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Sep%202018%2015:30:42%20GMT	https://gigm.com/Privacy-Policy.aspx	C:/My%20Web%20Sites/travel/gigm.com/Privacy-Policy.html	(from https://gigm.com/Default.aspx)
16:30:42	796/796	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Sep%202018%2015:30:44%20GMT	https://gigm.com/keep.aspx	C:/My%20Web%20Sites/travel/gigm.com/keep.html	(from https://gigm.com/Default.aspx)
16:30:43	86659/86659	---M-Z	200	added ('OK')	application/javascript	etag:W/%2258d026fb-15283%22	http://code.jquery.com/jquery-3.2.1.min.js	C:/My%20Web%20Sites/travel/code.jquery.com/jquery-3.2.1.min.js	(from https://gigm.com/Default.aspx)
16:30:45	37051/37051	---M-Z	200	added ('OK')	application/x-javascript	etag:%228964c435746fd31:0%22	https://gigm.com/webassets/js/bootstrap.min.js	C:/My%20Web%20Sites/travel/gigm.com/webassets/js/bootstrap.min.js	(from https://gigm.com/Default.aspx)
16:30:46	2508/2508	---M-Z	200	added ('OK')	application/x-javascript	etag:%221639c735746fd31:0%22	https://gigm.com/webassets/js/main.js?v=6789	C:/My%20Web%20Sites/travel/gigm.com/webassets/js/main1ded.js	(from https://gigm.com/Default.aspx)
